Model,n=1,n=3,n=5,n=7,n=10,β=2,β=4,β=6,best,best_config,Δ vs n=1
Aya Expanse 8B,0.5046362095666812,0.565229872062107,0.5831827777038746,0.5848554384115532,0.5773056708611052,0.5854564336199609,0.5515162137628671,0.5256249407031679,0.5854564336199609,β=2,0.08082022405327971
Jais-2-8B,0.5121657790312303,0.5491762091108859,0.5529241459816864,0.5515569007292219,0.5436169443512707,0.5731270196707661,0.5520882997012252,0.535019421375331,0.5731270196707661,β=2,0.060961240639535785
Qwen3-8B,0.44593874214922413,0.5180848682674823,0.5319428673915705,0.5327615540000767,0.5253916626668239,0.5254440184754043,0.48410225080201696,0.45909401515051496,0.5327615540000767,n=7,0.08682281185085261
Qwen 2.5-7B,0.4682319724739246,0.5293944552980688,0.535763678847161,0.5331270888323335,0.5256562371384916,0.5319731408314233,0.49769337071257874,0.4773722141477174,0.535763678847161,n=5,0.06753170637323641
Qwen3-4B,0.41454679649453097,0.505386835596442,0.5239165811987357,0.5243526433156928,0.51881825638782,0.5176800125178883,0.4677867027452373,0.4346555797963032,0.5243526433156928,n=7,0.10980584682116179
Gemma 3 4B,0.3446651031013656,0.47995866322728414,0.5178226136903695,0.5277213253916716,0.5238849245910255,0.4915200171535334,0.41837270378033925,0.3694197026002494,0.5277213253916716,n=7,0.183056222290306
Qwen 2.5-3B,0.4089917726229874,0.5059932395482901,0.51846463019397,0.5181020854891881,0.5115817923430956,0.504628270046748,0.4551096462432166,0.42527011657121794,0.51846463019397,n=5,0.10947285757098263
Falcon-H1-3B,0.4038381685633198,0.48812132826857557,0.5081897804998817,0.5112034488826208,0.511252096001083,0.49787084330459735,0.4560602861173732,0.426560648170137,0.511252096001083,n=10,0.10741392743776323
SILMA 2B,0.42774104303161753,0.4732848468963029,0.477049138113677,0.47861864154184636,0.47516916002269904,0.4519871198264739,0.4311800903526449,0.4277809325255752,0.47861864154184636,n=7,0.05087759851022883
BM25 baseline (no QE),0.4621,,,,,,,,0.4621,n=1,0.0
