qid,ndcg10,recall10,mrr,word_count,bucket
0,0.1736666713479918,0.16666666666666666,0.3333333333333333,9,2 Medium (5-9 words)
10000,0.33013764944712026,0.2,1.0,8,2 Medium (5-9 words)
10003,0.3436966913921454,0.3,0.5,3,1 Short (<5 words)
10011,0.4779671403625728,0.4,1.0,8,2 Medium (5-9 words)
10027,0.5391870169376466,0.5,1.0,4,1 Short (<5 words)
10031,0.4690000933206748,0.3,1.0,5,2 Medium (5-9 words)
10034,0.5541432109622958,0.4,1.0,5,2 Medium (5-9 words)
10038,0.07336392209936005,0.1,0.14285714285714285,8,2 Medium (5-9 words)
10039,0.6804503724350792,0.6,1.0,6,2 Medium (5-9 words)
10040,0.28952298823485745,0.2,1.0,4,1 Short (<5 words)
10042,0.13886244387355454,0.1,0.5,9,2 Medium (5-9 words)
10057,0.4537425745411855,0.3,1.0,5,2 Medium (5-9 words)
10061,0.48471198902551854,0.4,1.0,4,1 Short (<5 words)
1007,0.4690000933206748,0.3,1.0,4,1 Short (<5 words)
10070,0.2489083270225946,0.2,0.5,6,2 Medium (5-9 words)
10074,0.6399441431116327,0.6,1.0,8,2 Medium (5-9 words)
10075,0.6898286563534621,0.6,1.0,4,1 Short (<5 words)
10079,0.5983950669742499,0.5,1.0,9,2 Medium (5-9 words)
10081,0.31488013066763093,0.2,1.0,4,1 Short (<5 words)
10087,0.3282410109263901,0.4,0.3333333333333333,5,2 Medium (5-9 words)
10088,0.576669299949219,0.6,0.5,8,2 Medium (5-9 words)
10090,0.6168295842361274,0.5,1.0,4,1 Short (<5 words)
10103,0.43231813227099475,0.3,1.0,4,1 Short (<5 words)
10104,0.6082965289412681,0.6,1.0,6,2 Medium (5-9 words)
10114,0.22009176629808017,0.1,1.0,3,1 Short (<5 words)
10116,0.684383072597662,0.6,1.0,7,2 Medium (5-9 words)
10121,0.6867151830982591,0.6,1.0,9,2 Medium (5-9 words)
10142,0.5473983622993502,0.4,1.0,5,2 Medium (5-9 words)
10145,0.42520843362602373,0.3,1.0,4,1 Short (<5 words)
10148,0.0,0.0,0.0,4,1 Short (<5 words)
10150,0.5797827732044221,0.5,1.0,5,2 Medium (5-9 words)
10155,0.6547216238913564,0.6,1.0,8,2 Medium (5-9 words)
10162,0.7183627972686238,0.6,1.0,7,2 Medium (5-9 words)
10165,0.08514311764162098,0.1,0.2,8,2 Medium (5-9 words)
10169,0.3340514446642156,0.3,0.5,7,2 Medium (5-9 words)
10171,0.11004588314904008,0.1,0.3333333333333333,7,2 Medium (5-9 words)
10172,0.3259735800334642,0.2222222222222222,1.0,8,2 Medium (5-9 words)
10174,0.7510916729774053,0.8,1.0,7,2 Medium (5-9 words)
10175,0.3557772116892465,0.3,1.0,4,1 Short (<5 words)
10185,0.30523488393970116,0.2,1.0,6,2 Medium (5-9 words)
10194,0.22466337602289155,0.3,0.25,4,1 Short (<5 words)
10198,0.1681522864689108,0.2,0.25,8,2 Medium (5-9 words)
10203,0.0,0.0,0.0,4,1 Short (<5 words)
10205,0.24618570546556082,0.3,0.25,5,2 Medium (5-9 words)
10209,0.0,0.0,0.0,3,1 Short (<5 words)
10212,0.40807318127129166,0.5,0.3333333333333333,4,1 Short (<5 words)
10217,0.4124497136428909,0.4,0.5,5,2 Medium (5-9 words)
1023,0.3031595321740454,0.4,0.2,11,3 Long (>=10 words)
10230,0.07839826897867533,0.1,0.16666666666666666,7,2 Medium (5-9 words)
10237,0.2984900352767555,0.2,1.0,6,2 Medium (5-9 words)
10242,0.3589542101716347,0.2,1.0,7,2 Medium (5-9 words)
10247,0.3340514446642156,0.3,0.5,6,2 Medium (5-9 words)
10250,0.6136525857537393,0.5,1.0,4,1 Short (<5 words)
10251,0.424926013816671,0.3,1.0,3,1 Short (<5 words)
10253,0.2863459897524692,0.2,1.0,9,2 Medium (5-9 words)
10254,0.6082965289412681,0.5454545454545454,1.0,7,2 Medium (5-9 words)
10257,0.0,0.0,0.0,4,1 Short (<5 words)
10259,0.47674870152787435,0.5,0.5,6,2 Medium (5-9 words)
10271,0.8389574121760602,0.8,1.0,7,2 Medium (5-9 words)
10272,0.70844095012329,0.6,1.0,6,2 Medium (5-9 words)
10276,0.642186726668901,0.5,1.0,4,1 Short (<5 words)
10286,0.06625422345438903,0.1,0.1111111111111111,10,3 Long (>=10 words)
10287,0.33798414482679834,0.4,0.3333333333333333,5,2 Medium (5-9 words)
10291,0.11004588314904008,0.1,0.3333333333333333,4,1 Short (<5 words)
10294,0.21726071285222986,0.2,0.5,4,1 Short (<5 words)
10297,0.6871952210980248,0.6,1.0,12,3 Long (>=10 words)
1030,0.41528076708874123,0.2727272727272727,1.0,11,3 Long (>=10 words)
10301,0.693761356516045,0.6,1.0,14,3 Long (>=10 words)
10306,0.4690000933206748,0.3,1.0,5,2 Medium (5-9 words)
1031,0.06943122193677727,0.09090909090909091,0.125,6,2 Medium (5-9 words)
10314,0.7967610662472993,0.7,1.0,6,2 Medium (5-9 words)
10320,0.37185395737611554,0.3,1.0,5,2 Medium (5-9 words)
10330,0.3589542101716347,0.2,1.0,5,2 Medium (5-9 words)
10331,0.49435723575344825,0.4,1.0,8,2 Medium (5-9 words)
10332,0.33627415762678553,0.2222222222222222,1.0,5,2 Medium (5-9 words)
10333,0.33013764944712026,0.2,1.0,5,2 Medium (5-9 words)
10334,0.477504403208069,0.6,0.3333333333333333,7,2 Medium (5-9 words)
10335,0.5252098581198152,0.6,0.5,5,2 Medium (5-9 words)
10340,0.45449827622138,0.4,1.0,4,1 Short (<5 words)
10342,0.5072380780124418,0.5,0.5,6,2 Medium (5-9 words)
1035,0.22009176629808017,0.1,1.0,8,2 Medium (5-9 words)
10361,0.3714891073940902,0.3,1.0,5,2 Medium (5-9 words)
10366,0.25300146108966737,0.3333333333333333,0.2,4,1 Short (<5 words)
10368,0.6870165078530993,0.6,1.0,6,2 Medium (5-9 words)
10378,0.28371255449703187,0.2,1.0,5,2 Medium (5-9 words)
10380,0.23365080824310533,0.2,0.5,5,2 Medium (5-9 words)
10382,0.3187939258847263,0.3,0.5,5,2 Medium (5-9 words)
10385,0.27848058942730364,0.3,0.5,6,2 Medium (5-9 words)
10398,0.2934556883974402,0.2,1.0,5,2 Medium (5-9 words)
104,0.38363315291837646,0.3,1.0,6,2 Medium (5-9 words)
10401,0.43735247915031,0.3,1.0,5,2 Medium (5-9 words)
10403,0.14465249243306436,0.2,0.16666666666666666,5,2 Medium (5-9 words)
10415,0.2520649403266671,0.3,0.3333333333333333,6,2 Medium (5-9 words)
10416,0.5428183923453893,0.5,1.0,6,2 Medium (5-9 words)
10418,0.684383072597662,0.6,1.0,12,3 Long (>=10 words)
10427,0.5009732673492616,0.4,1.0,6,2 Medium (5-9 words)
10438,0.0,0.0,0.0,5,2 Medium (5-9 words)
1044,0.28952298823485745,0.2,1.0,5,2 Medium (5-9 words)
10444,0.5415879285615245,0.5,1.0,4,1 Short (<5 words)
10449,0.21726071285222986,0.2,0.5,4,1 Short (<5 words)
10451,0.44793214080335986,0.4,1.0,5,2 Medium (5-9 words)
10456,0.5033242827953464,0.4,1.0,4,1 Short (<5 words)
10459,0.4354747455750672,0.4,1.0,7,2 Medium (5-9 words)
10476,0.6780494608112012,0.6,1.0,4,1 Short (<5 words)
1048,0.08514311764162098,0.1,0.2,5,2 Medium (5-9 words)
10486,0.4440973278132557,0.3,1.0,6,2 Medium (5-9 words)
1049,0.39375843764607193,0.2727272727272727,1.0,6,2 Medium (5-9 words)
