qid,ndcg10,recall10,recall100,mrr,num_relevant
0,0.0,0.0,0.5,0.022727272727272728,2
10000,0.0,0.0,0.0,0.0,1
10003,0.0,0.0,0.3333333333333333,0.021739130434782608,3
10011,0.9049278636531481,1.0,1.0,1.0,6
10027,1.0,1.0,1.0,1.0,1
10031,0.0,0.0,0.75,0.08333333333333333,4
10034,0.0,0.0,1.0,0.016129032258064516,1
10038,0.0,0.0,1.0,0.07142857142857142,1
10039,0.6309297535714575,1.0,1.0,0.5,1
10040,0.20210734650054757,0.3333333333333333,0.3333333333333333,0.25,3
10042,0.8175295903539445,1.0,1.0,1.0,2
10057,1.0,1.0,1.0,1.0,1
10061,1.0,1.0,1.0,1.0,1
1007,0.15642624200758548,0.3333333333333333,1.0,0.14285714285714285,3
10070,0.0,0.0,1.0,0.09090909090909091,1
10074,0.0,0.0,1.0,0.022727272727272728,2
10075,1.0,1.0,1.0,1.0,1
10079,1.0,1.0,1.0,1.0,1
10081,0.0,0.0,0.0,0.0,1
10087,0.3562071871080222,1.0,1.0,0.16666666666666666,1
10088,0.0,0.0,0.25,0.018518518518518517,4
10090,0.8710785440003369,1.0,1.0,1.0,3
10103,0.43067655807339306,1.0,1.0,0.25,1
10104,1.0,1.0,1.0,1.0,1
10114,0.0,0.0,1.0,0.07692307692307693,2
10116,0.7039180890341347,0.6666666666666666,1.0,1.0,3
10121,0.0,0.0,1.0,0.045454545454545456,1
10142,0.5,1.0,1.0,0.3333333333333333,1
10145,0.21840743681816419,0.5,1.0,0.16666666666666666,2
10148,0.0,0.0,1.0,0.014285714285714285,1
10150,0.18457569677956817,0.5,1.0,0.1111111111111111,2
10155,1.0,1.0,1.0,1.0,1
10162,0.6663732474096913,1.0,1.0,0.5,3
10165,0.0,0.0,1.0,0.037037037037037035,1
10169,0.6309297535714575,1.0,1.0,0.5,1
10171,0.7653606369886217,0.6666666666666666,0.6666666666666666,1.0,3
10172,0.0,0.0,0.0,0.0,1
10174,0.0,0.0,1.0,0.05263157894736842,2
10175,0.6131471927654584,0.5,1.0,1.0,2
10185,1.0,1.0,1.0,1.0,1
10194,0.24630238874073,0.25,0.5,0.5,4
10198,0.7328286204777911,1.0,1.0,0.5,3
10203,0.0,0.0,1.0,0.029411764705882353,1
10205,0.3065735963827292,0.5,1.0,0.3333333333333333,2
10209,0.17723928678404774,0.5,1.0,0.1,2
10212,0.0,0.0,1.0,0.018867924528301886,1
10217,0.0,0.0,1.0,0.08333333333333333,1
1023,0.3065735963827292,0.5,1.0,0.3333333333333333,2
10230,0.43067655807339306,1.0,1.0,0.25,1
10237,0.19342640361727081,0.5,0.5,0.125,2
10242,0.6131471927654584,0.5,0.5,1.0,2
10247,0.5274486902992358,0.75,1.0,0.5,4
10250,0.3065735963827292,0.5,1.0,0.3333333333333333,2
10251,0.2640681225725909,0.5,0.5,0.25,2
10253,1.0,1.0,1.0,1.0,1
10254,0.0,0.0,0.8,0.09090909090909091,5
10257,0.38685280723454163,1.0,1.0,0.2,1
10259,1.0,1.0,1.0,1.0,1
10271,0.6309297535714575,1.0,1.0,0.5,1
10272,0.9197207891481876,1.0,1.0,1.0,2
10276,0.9134015924715543,1.0,1.0,1.0,3
10286,0.0,0.0,0.0,0.0,1
10287,0.43067655807339306,1.0,1.0,0.25,1
10291,0.4632423659320675,0.6666666666666666,1.0,0.5,3
10294,1.0,1.0,1.0,1.0,1
10297,1.0,1.0,1.0,1.0,1
1030,0.3903800499921017,0.25,0.75,1.0,4
10301,0.5531464700081437,0.4,1.0,1.0,5
10306,1.0,1.0,1.0,1.0,1
1031,0.0,0.0,0.0,0.0,2
10314,1.0,1.0,1.0,1.0,1
10320,0.0,0.0,0.0,0.0,1
10330,0.0,0.0,1.0,0.01694915254237288,1
10331,0.6240505200038379,1.0,1.0,0.5,2
10332,1.0,1.0,1.0,1.0,1
10333,0.3333333333333333,1.0,1.0,0.14285714285714285,1
10334,1.0,1.0,1.0,1.0,2
10335,0.6099667568096199,0.6666666666666666,1.0,1.0,9
10340,0.6978817289434457,1.0,1.0,0.5,3
10342,0.38685280723454163,0.5,0.5,0.5,2
1035,1.0,1.0,1.0,1.0,1
10361,0.43067655807339306,1.0,1.0,0.25,1
10366,0.6713860725233041,0.6666666666666666,1.0,1.0,3
10368,0.6309297535714575,1.0,1.0,0.5,1
10378,0.5,1.0,1.0,0.3333333333333333,1
10380,0.0,0.0,1.0,0.07692307692307693,2
10382,1.0,1.0,1.0,1.0,1
10385,0.8503449055347546,1.0,1.0,1.0,2
10398,0.0,0.0,1.0,0.030303030303030304,1
104,0.0,0.0,1.0,0.015873015873015872,1
10401,1.0,1.0,1.0,1.0,1
10403,0.0,0.0,0.0,0.0,1
10415,0.7653606369886217,0.6666666666666666,0.6666666666666666,1.0,3
10416,0.7977228895450266,1.0,1.0,1.0,2
10418,1.0,1.0,1.0,1.0,3
10427,1.0,1.0,1.0,1.0,1
10438,0.3010299956639812,1.0,1.0,0.1111111111111111,1
1044,1.0,1.0,1.0,1.0,2
10444,0.20210734650054757,0.3333333333333333,0.3333333333333333,0.25,3
10449,0.123151194370365,0.25,1.0,0.125,4
10451,0.0,0.0,0.3333333333333333,0.01818181818181818,3
10456,0.8385465274895063,1.0,1.0,1.0,3
10459,0.0,0.0,0.0,0.0,2
10476,0.31546487678572877,1.0,1.0,0.125,1
1048,0.0,0.0,0.0,0.0,1
10486,0.0,0.0,0.0,0.0,1
1049,0.0,0.0,1.0,0.030303030303030304,1
10490,0.38685280723454163,0.5,1.0,0.5,2
10506,0.26836379988737025,0.3333333333333333,1.0,0.3333333333333333,6
1051,0.5,1.0,1.0,0.3333333333333333,1
10514,0.0,0.0,0.3333333333333333,0.015873015873015872,3
10515,1.0,1.0,1.0,1.0,1
10516,1.0,1.0,1.0,1.0,3
10526,0.0,0.0,1.0,0.02702702702702703,1
10527,1.0,1.0,1.0,1.0,1
