qid,ndcg10,recall10,recall100,mrr,num_relevant
0,0.0,0.0,0.5,0.02631578947368421,2
10000,1.0,1.0,1.0,1.0,1
10003,0.49818925746641285,0.6666666666666666,1.0,0.5,3
10011,0.25909036127391766,0.3333333333333333,1.0,0.3333333333333333,6
10027,1.0,1.0,1.0,1.0,1
10031,0.8318724637288826,0.75,0.75,1.0,4
10034,1.0,1.0,1.0,1.0,1
10038,0.0,0.0,1.0,0.09090909090909091,1
10039,1.0,1.0,1.0,1.0,1
10040,0.617319681505689,0.6666666666666666,1.0,1.0,3
10042,0.0,0.0,0.5,0.07142857142857142,2
10057,0.6309297535714575,1.0,1.0,0.5,1
10061,1.0,1.0,1.0,1.0,1
1007,1.0,1.0,1.0,1.0,3
10070,0.5,1.0,1.0,0.3333333333333333,1
10074,0.3065735963827292,0.5,1.0,0.3333333333333333,2
10075,1.0,1.0,1.0,1.0,1
10079,0.6309297535714575,1.0,1.0,0.5,1
10081,1.0,1.0,1.0,1.0,1
10087,0.5,1.0,1.0,0.3333333333333333,1
10088,0.7315682114753617,1.0,1.0,0.5,4
10090,0.7653606369886217,0.6666666666666666,1.0,1.0,3
10103,0.6309297535714575,1.0,1.0,0.5,1
10104,1.0,1.0,1.0,1.0,1
10114,0.6131471927654584,0.5,1.0,1.0,2
10116,0.86034433104172,1.0,1.0,1.0,3
10121,0.43067655807339306,1.0,1.0,0.25,1
10142,0.0,0.0,1.0,0.07692307692307693,1
10145,0.0,0.0,0.0,0.0,2
10148,0.0,0.0,0.0,0.0,1
10150,0.6131471927654584,0.5,1.0,1.0,2
10155,1.0,1.0,1.0,1.0,1
10162,0.9674679834891693,1.0,1.0,1.0,3
10165,0.0,0.0,0.0,0.0,1
10169,0.0,0.0,0.0,0.0,1
10171,0.0,0.0,0.6666666666666666,0.021739130434782608,3
10172,0.0,0.0,1.0,0.038461538461538464,1
10174,0.48247555939075504,1.0,1.0,0.25,2
10175,0.19342640361727081,0.5,1.0,0.125,2
10185,1.0,1.0,1.0,1.0,1
10194,0.11751610475642714,0.25,0.25,0.1111111111111111,4
10198,0.0,0.0,0.6666666666666666,0.09090909090909091,3
10203,0.0,0.0,1.0,0.045454545454545456,1
10205,0.23719771276929622,0.5,1.0,0.2,2
10209,0.0,0.0,0.0,0.0,2
10212,0.3010299956639812,1.0,1.0,0.1111111111111111,1
10217,0.5,1.0,1.0,0.3333333333333333,1
1023,0.42177340954886444,1.0,1.0,0.2,2
10230,0.0,0.0,1.0,0.047619047619047616,1
10237,0.6131471927654584,0.5,1.0,1.0,2
10242,0.0,0.0,0.5,0.022222222222222223,2
10247,0.24630238874073,0.25,1.0,0.5,4
10250,0.6934264036172708,1.0,1.0,0.5,2
10251,0.8772153153380493,1.0,1.0,1.0,2
10253,1.0,1.0,1.0,1.0,1
10254,0.47741010830931696,0.8,1.0,0.25,5
10257,0.0,0.0,0.0,0.0,1
10259,0.6309297535714575,1.0,1.0,0.5,1
10271,1.0,1.0,1.0,1.0,1
10272,0.9197207891481876,1.0,1.0,1.0,2
10276,0.7039180890341347,0.6666666666666666,1.0,1.0,3
10286,0.0,0.0,1.0,0.03125,1
10287,0.0,0.0,1.0,0.04,1
10291,0.23463936301137822,0.3333333333333333,1.0,0.3333333333333333,3
10294,0.0,0.0,1.0,0.0625,1
10297,1.0,1.0,1.0,1.0,1
1030,0.19519002499605084,0.25,0.5,0.3333333333333333,4
10301,0.639945385422766,0.6,1.0,1.0,5
10306,0.6309297535714575,1.0,1.0,0.5,1
1031,0.19342640361727081,0.5,1.0,0.125,2
10314,1.0,1.0,1.0,1.0,1
10320,1.0,1.0,1.0,1.0,1
10330,0.0,0.0,1.0,0.013157894736842105,1
10331,0.8065735963827293,1.0,1.0,1.0,2
10332,0.43067655807339306,1.0,1.0,0.25,1
10333,1.0,1.0,1.0,1.0,1
10334,0.5706417189553201,1.0,1.0,0.3333333333333333,2
10335,0.46996637145730963,0.5555555555555556,1.0,0.5,9
10340,0.6105456988825855,0.6666666666666666,1.0,1.0,3
10342,0.38685280723454163,0.5,1.0,0.5,2
1035,1.0,1.0,1.0,1.0,1
10361,1.0,1.0,1.0,1.0,1
10366,0.34870224750355494,0.6666666666666666,1.0,0.2,3
10368,0.3333333333333333,1.0,1.0,0.14285714285714285,1
10378,1.0,1.0,1.0,1.0,1
10380,0.6509209298071326,1.0,1.0,0.5,2
10382,0.6309297535714575,1.0,1.0,0.5,1
10385,0.5912352048230277,1.0,1.0,0.5,2
10398,1.0,1.0,1.0,1.0,1
104,0.0,0.0,1.0,0.08333333333333333,1
10401,1.0,1.0,1.0,1.0,1
10403,0.3010299956639812,1.0,1.0,0.1111111111111111,1
10415,0.0,0.0,0.3333333333333333,0.05263157894736842,3
10416,0.6131471927654584,0.5,1.0,1.0,2
10418,0.7653606369886217,0.6666666666666666,0.6666666666666666,1.0,3
10427,0.0,0.0,0.0,0.0,1
10438,0.0,0.0,0.0,0.0,1
1044,0.8065735963827293,1.0,1.0,1.0,2
10444,0.1480409554829326,0.3333333333333333,0.6666666666666666,0.125,3
10449,0.3853585682515056,0.5,0.75,0.5,4
10451,0.6713860725233041,0.6666666666666666,1.0,1.0,3
10456,0.7039180890341347,0.6666666666666666,1.0,1.0,3
10459,0.4227898344066503,1.0,1.0,0.16666666666666666,2
10476,0.6309297535714575,1.0,1.0,0.5,1
1048,0.0,0.0,1.0,0.07692307692307693,1
10486,0.0,0.0,1.0,0.022222222222222223,1
1049,0.0,0.0,0.0,0.0,1
10490,1.0,1.0,1.0,1.0,2
10506,0.21779548001177884,0.3333333333333333,0.6666666666666666,0.25,6
1051,1.0,1.0,1.0,1.0,1
10514,0.9674679834891693,1.0,1.0,1.0,3
10515,1.0,1.0,1.0,1.0,1
10516,0.7653606369886217,0.6666666666666666,1.0,1.0,3
10526,0.6309297535714575,1.0,1.0,0.5,1
10527,0.0,0.0,1.0,0.019230769230769232,1
10529,0.4144299250118475,0.5,1.0,0.5,4
10543,1.0,1.0,1.0,1.0,1
10552,0.48247555939075504,1.0,1.0,0.25,2
10553,0.5032251913410369,0.5,0.75,1.0,4
10563,0.6934264036172708,1.0,1.0,0.5,2
