qid,ndcg10,recall10,recall100,mrr,num_relevant
0,0.0,0.0,0.5,0.018518518518518517,2
10000,0.6309297535714575,1.0,1.0,0.5,1
10003,0.38268031849431083,0.6666666666666666,1.0,0.3333333333333333,3
10011,0.9651366671790967,1.0,1.0,1.0,6
10027,1.0,1.0,1.0,1.0,1
10031,0.5413996682199069,0.5,1.0,1.0,4
10034,0.6309297535714575,1.0,1.0,0.5,1
10038,0.43067655807339306,1.0,1.0,0.25,1
10039,1.0,1.0,1.0,1.0,1
10040,0.46927872602275644,0.3333333333333333,0.6666666666666666,1.0,3
10042,0.7977228895450266,1.0,1.0,1.0,2
10057,1.0,1.0,1.0,1.0,1
10061,1.0,1.0,1.0,1.0,1
1007,0.7328286204777911,1.0,1.0,0.5,3
10070,0.6309297535714575,1.0,1.0,0.5,1
10074,0.2640681225725909,0.5,1.0,0.25,2
10075,1.0,1.0,1.0,1.0,1
10079,1.0,1.0,1.0,1.0,1
10081,1.0,1.0,1.0,1.0,1
10087,0.6309297535714575,1.0,1.0,0.5,1
10088,0.5433536754396464,1.0,1.0,0.2,4
10090,0.7653606369886217,0.6666666666666666,1.0,1.0,3
10103,0.6309297535714575,1.0,1.0,0.5,1
10104,1.0,1.0,1.0,1.0,1
10114,0.38685280723454163,0.5,0.5,0.5,2
10116,0.9217868789962071,1.0,1.0,1.0,3
10121,0.6309297535714575,1.0,1.0,0.5,1
10142,0.5,1.0,1.0,0.3333333333333333,1
10145,0.5249810332008933,1.0,1.0,0.3333333333333333,2
10148,0.0,0.0,1.0,0.05,1
10150,1.0,1.0,1.0,1.0,2
10155,1.0,1.0,1.0,1.0,1
10162,0.9469024295259745,1.0,1.0,1.0,3
10165,0.0,0.0,0.0,0.0,1
10169,0.5,1.0,1.0,0.3333333333333333,1
10171,0.9674679834891693,1.0,1.0,1.0,3
10172,0.0,0.0,1.0,0.045454545454545456,1
10174,0.41443699955334395,1.0,1.0,0.2,2
10175,1.0,1.0,1.0,1.0,2
10185,1.0,1.0,1.0,1.0,1
10194,0.3973220069685352,0.5,1.0,0.5,4
10198,0.7328286204777911,1.0,1.0,0.5,3
10203,0.6309297535714575,1.0,1.0,0.5,1
10205,0.5012658353418871,1.0,1.0,0.25,2
10209,0.5802792108518124,1.0,1.0,0.5,2
10212,0.0,0.0,0.0,0.0,1
10217,0.31546487678572877,1.0,1.0,0.125,1
1023,0.8772153153380493,1.0,1.0,1.0,2
10230,1.0,1.0,1.0,1.0,1
10237,0.6131471927654584,0.5,1.0,1.0,2
10242,0.9197207891481876,1.0,1.0,1.0,2
10247,0.8927537907700456,1.0,1.0,1.0,4
10250,0.8065735963827293,1.0,1.0,1.0,2
10251,0.6131471927654584,0.5,1.0,1.0,2
10253,1.0,1.0,1.0,1.0,1
10254,0.4226415848467783,0.6,0.8,0.3333333333333333,5
