qid,ndcg10_config_a,ndcg10_bm25_baseline,n_relevant,n_present_in_corpus,verdict,missing_docids
13047,0.0,0.0,1,1,genuine_failure,
14816,0.0,0.6197,3,3,genuine_failure,
12540,0.0,0.0,3,3,genuine_failure,
6473,0.0,0.0,1,1,genuine_failure,
6981,0.0,0.0,2,2,genuine_failure,
11353,0.0,0.0,1,1,genuine_failure,
7671,0.0,0.0,1,1,genuine_failure,
9634,0.0,0.0,1,1,genuine_failure,
15203,0.0,0.0,1,1,genuine_failure,
11598,0.0,0.0,1,1,genuine_failure,
7358,0.0,0.0,1,1,genuine_failure,
4418,0.0,0.0,1,1,genuine_failure,
5523,0.0,0.0,1,1,genuine_failure,
11905,0.0,0.3869,1,1,genuine_failure,
98,0.0,0.0,2,2,genuine_failure,
3605,0.0,0.0,3,3,genuine_failure,
7282,0.0,0.5,1,1,genuine_failure,
8314,0.0,0.0,2,2,genuine_failure,
14041,0.0,0.3976,7,7,genuine_failure,
9308,0.0,0.3155,1,1,genuine_failure,
3793,0.0,0.2372,2,2,genuine_failure,
10172,0.0,0.0,1,1,genuine_failure,
1402,0.0,0.0,1,1,genuine_failure,
6681,0.0,0.0,1,1,genuine_failure,
14039,0.0,0.4307,1,1,genuine_failure,
9013,0.0,0.0,1,1,genuine_failure,
9669,0.0,0.3562,1,1,genuine_failure,
6207,0.0,0.0,1,1,genuine_failure,
3194,0.0,0.0,1,1,genuine_failure,
2266,0.0,0.0,1,1,genuine_failure,
6292,0.0,0.0,1,1,genuine_failure,
3021,0.0,0.0,1,1,genuine_failure,
4950,0.0,0.3155,1,1,genuine_failure,
9385,0.0,0.0,1,1,genuine_failure,
11503,0.0,0.0,1,1,genuine_failure,
3772,0.0,0.0,1,1,genuine_failure,
13444,0.0,0.0,1,1,genuine_failure,
11036,0.0,0.0,1,1,genuine_failure,
9892,0.0,0.3869,1,1,genuine_failure,
2516,0.0,0.0,1,1,genuine_failure,
8490,0.0,0.0,1,1,genuine_failure,
1288,0.0,0.0,1,1,genuine_failure,
5316,0.0,0.4307,1,1,genuine_failure,
370,0.0,0.2372,2,2,genuine_failure,
4699,0.0,0.3333,1,1,genuine_failure,
6512,0.0,0.0,1,1,genuine_failure,
9623,0.0,0.0,1,1,genuine_failure,
2879,0.0,0.0,1,1,genuine_failure,
8036,0.0,0.0,1,1,genuine_failure,
13219,0.0,0.0,2,2,genuine_failure,
4880,0.0,0.0,3,3,genuine_failure,
2449,0.0,0.0,1,1,genuine_failure,
3750,0.0,0.0,2,2,genuine_failure,
5899,0.0,0.0,2,2,genuine_failure,
7164,0.0,0.0,1,1,genuine_failure,
5671,0.0,0.6131,2,2,genuine_failure,
7413,0.0,0.301,1,1,genuine_failure,
12836,0.0,0.0,3,3,genuine_failure,
10148,0.0,0.0,1,1,genuine_failure,
8487,0.0,0.0,2,2,genuine_failure,
14659,0.0,0.0,2,2,genuine_failure,
3721,0.0,0.0,1,1,genuine_failure,
1998,0.0,0.0,1,1,genuine_failure,
15325,0.0,0.2769,3,3,genuine_failure,
5856,0.0,0.0,1,1,genuine_failure,
904,0.0,0.0,1,1,genuine_failure,
6206,0.0,0.0,1,1,genuine_failure,
3551,0.0,0.0,3,3,genuine_failure,
6458,0.0,1.0,1,1,genuine_failure,
8379,0.0,0.4307,1,1,genuine_failure,
9483,0.0,0.0,1,1,genuine_failure,
9903,0.0,0.0,1,1,genuine_failure,
8106,0.0,0.0,1,1,genuine_failure,
4948,0.0,0.0,1,1,genuine_failure,
6364,0.0,0.3562,1,1,genuine_failure,
4577,0.0,0.0,1,1,genuine_failure,
7473,0.0,0.0,3,3,genuine_failure,
12162,0.0,0.0,1,1,genuine_failure,
204,0.0,0.6131,2,2,genuine_failure,
378,0.0,0.3562,1,1,genuine_failure,
4114,0.0,0.0,4,4,genuine_failure,
3051,0.0,0.0,1,1,genuine_failure,
8652,0.0,0.0,1,1,genuine_failure,
8527,0.0,0.0,1,1,genuine_failure,
4930,0.0,0.0,1,1,genuine_failure,
8669,0.0,0.0,1,1,genuine_failure,
3758,0.0,0.0,3,3,genuine_failure,
10330,0.0,0.0,1,1,genuine_failure,
11200,0.0,0.3045,3,3,genuine_failure,
8355,0.0,0.2044,2,2,genuine_failure,
3474,0.0,0.0,1,1,genuine_failure,
4692,0.0,0.2891,1,1,genuine_failure,
5077,0.0,0.0,1,1,genuine_failure,
15041,0.0,0.0,1,1,genuine_failure,
14263,0.0,0.0,1,1,genuine_failure,
1579,0.0,0.3562,1,1,genuine_failure,
3546,0.0,0.3155,1,1,genuine_failure,
4435,0.0,0.0,1,1,genuine_failure,
8521,0.0,0.0,2,2,genuine_failure,
6232,0.0,0.3333,1,1,genuine_failure,
5616,0.0,0.5,1,1,genuine_failure,
1382,0.0,0.0,1,1,genuine_failure,
7655,0.0,0.0,1,1,genuine_failure,
7273,0.0,0.0,1,1,genuine_failure,
7460,0.0,0.3869,1,1,genuine_failure,
4169,0.0,0.0,1,1,genuine_failure,
6022,0.0,0.0,1,1,genuine_failure,
8809,0.0,0.0,1,1,genuine_failure,
1387,0.0,0.0,2,2,genuine_failure,
478,0.0,0.0,1,1,genuine_failure,
12510,0.0,0.2641,2,2,genuine_failure,
8954,0.0,0.0,1,1,genuine_failure,
10212,0.0,0.0,1,1,genuine_failure,
15274,0.0,0.1564,3,3,genuine_failure,
13056,0.0,0.0,1,1,genuine_failure,
14007,0.0,0.0,4,4,genuine_failure,
14967,0.0,0.0,1,1,genuine_failure,
15109,0.0,0.0,1,1,genuine_failure,
12939,0.0,0.1128,4,4,genuine_failure,
15024,0.0,0.2372,2,2,genuine_failure,
5549,0.0,0.0,1,1,genuine_failure,
4792,0.0,0.0,1,1,genuine_failure,
104,0.0,0.0,1,1,genuine_failure,
578,0.0,0.0,3,3,genuine_failure,
6435,0.0,0.0,1,1,genuine_failure,
9300,0.0,0.0,1,1,genuine_failure,
7688,0.0,0.0,2,2,genuine_failure,
4743,0.0,0.0,1,1,genuine_failure,
8428,0.0,0.2184,2,2,genuine_failure,
9977,0.0,0.0,1,1,genuine_failure,
15346,0.0,0.0,1,1,genuine_failure,
5571,0.0,0.0,1,1,genuine_failure,
6367,0.0,0.3562,1,1,genuine_failure,
6703,0.0,0.0,1,1,genuine_failure,
3986,0.0,0.0,1,1,genuine_failure,
3231,0.0,0.0,2,2,genuine_failure,
14105,0.0,0.0,1,1,genuine_failure,
485,0.0,0.0,1,1,genuine_failure,
13852,0.0,0.0,2,2,genuine_failure,
4742,0.0,0.0,2,2,genuine_failure,
9116,0.0,0.301,1,1,genuine_failure,
1590,0.0,0.0,1,1,genuine_failure,
8552,0.0,0.0,1,1,genuine_failure,
7708,0.0,0.4307,1,1,genuine_failure,
6556,0.0,0.0,1,1,genuine_failure,
8531,0.0,0.0,1,1,genuine_failure,
419,0.0,0.6309,1,1,genuine_failure,
1800,0.0,0.0,1,1,genuine_failure,
9427,0.0,0.2891,1,1,genuine_failure,
6856,0.0,0.0,1,1,genuine_failure,
4609,0.0,0.0,1,1,genuine_failure,
4770,0.0,0.0731,8,8,genuine_failure,
3657,0.0,0.0,1,1,genuine_failure,
6357,0.0,0.0,1,1,genuine_failure,
10573,0.0,0.0,3,3,genuine_failure,
11289,0.0,0.0,2,2,genuine_failure,
11456,0.0,0.0,1,1,genuine_failure,
118,0.0,0.0,1,1,genuine_failure,
3593,0.0,0.0,1,1,genuine_failure,
2103,0.0,0.5,1,1,genuine_failure,
5018,0.0,0.0,1,1,genuine_failure,
7487,0.0,0.0,1,1,genuine_failure,
1060,0.0,0.3869,1,1,genuine_failure,
3925,0.0,0.0,1,1,genuine_failure,
9781,0.0,0.0,2,2,genuine_failure,
10977,0.0,0.0,1,1,genuine_failure,
13039,0.0,0.0,2,2,genuine_failure,
6517,0.0,0.0,1,1,genuine_failure,
15242,0.0,0.0,1,1,genuine_failure,
5944,0.0,0.0,1,1,genuine_failure,
2143,0.0,0.0,1,1,genuine_failure,
7625,0.0,0.3562,1,1,genuine_failure,
12898,0.0,0.0,1,1,genuine_failure,
2826,0.0,0.0,1,1,genuine_failure,
3479,0.0,0.0,1,1,genuine_failure,
5989,0.0,0.0,1,1,genuine_failure,
5256,0.0,0.0,1,1,genuine_failure,
6119,0.0,0.0,2,2,genuine_failure,
3702,0.0,0.3562,1,1,genuine_failure,
3399,0.0,0.0,1,1,genuine_failure,
1686,0.0,0.0,2,2,genuine_failure,
13691,0.0,0.0,1,1,genuine_failure,
13698,0.0,0.0,2,2,genuine_failure,
47,0.0,0.0,1,1,genuine_failure,
4620,0.0,0.0,1,1,genuine_failure,
11476,0.0,0.2893,3,3,genuine_failure,
11787,0.0,0.0,1,1,genuine_failure,
14926,0.0,0.0,1,1,genuine_failure,
2225,0.0,0.0,1,1,genuine_failure,
13183,0.0,0.0,1,1,genuine_failure,
14170,0.0,0.0,1,1,genuine_failure,
6048,0.0,0.1846,2,2,genuine_failure,
4902,0.0,0.0,1,1,genuine_failure,
238,0.0,0.0,2,2,genuine_failure,
108,0.0,0.0,1,1,genuine_failure,
1778,0.0,0.0,2,2,genuine_failure,
11831,0.0,0.0,2,2,genuine_failure,
7463,0.0,0.0,1,1,genuine_failure,
