Method,nDCG@10,Recall@10,Recall@100,MRR
BM25 alone,0.4621,0.5964,0.8577,0.4836
mDPR alone,0.4993,0.6156,0.8407,0.5328
Hybrid RRF k=20 (Exp 1.2),0.6267,0.7597,0.9466,0.6517
BM25+CSQE (Exp 013),0.6157,0.7447,0.9422,0.6380
Dense+CSQE (Exp 013),0.5915,0.7073,0.8816,0.6225
A: BM25+CSQE + Dense CC (alpha=0.6),0.7088,0.8302,0.9717,0.7268
A: BM25+CSQE + Dense RRF (k=20),0.7137,0.8363,0.9734,0.7362
B: BM25 + Dense+CSQE CC (alpha=0.4),0.6588,0.7851,0.9569,0.6777
B: BM25 + Dense+CSQE RRF (k=20),0.6474,0.7928,0.9571,0.6578
C: BM25+CSQE + Dense+CSQE CC (alpha=0.5),0.6959,0.8249,0.9647,0.7079
C: BM25+CSQE + Dense+CSQE RRF (k=20),0.6936,0.8290,0.9660,0.7037
