model,family,params_B,multilingual,arabic_specialized,quantization,cite_key
SILMA Kashif-2B,Silma AI,2,No,Yes (RAG),FP16,silma_2024
Qwen 2.5 3B,Alibaba,3,Yes (29 langs),No,FP16,qwen25_2024
Falcon-H1-3B,TII,3,Yes,Yes,BF16,falcon_h1_2025
Qwen3-4B,Alibaba,4,Yes (119 langs),No,FP16,qwen3_2025
Gemma 3 4B,Google,4,Yes,No,FP16/BF16,gemma3_2025
Qwen 2.5-7B,Alibaba,7,Yes (29 langs),No,FP16,qwen25_2024
ALLaM-7B (DROPPED),NCAI,7,Yes,Yes,FP16,allam_2024
Jais-2-8B,G42,8,Yes,Yes,BF16,jais_2_2025
Qwen3-8B,Alibaba,8,Yes (119 langs),No,FP16,qwen3_2025
Aya Expanse 8B,Cohere,8,Yes (101 langs),No,4-bit NF4,aya_2024
GPT-OSS 20B (DROPPED),OpenAI,20 (MoE),Yes,No,4-bit NF4,gpt_oss_2025
